low,high,street,side
5692,5692,GREENVIEW AVE,E
8131,8131,HARTWELL ST,O
8600,8600,LITTLEFIELD ST,E
6254,6254,PIEDMONT ST,E
8500,8798,ROBSON ST,E
8112,8112,TERRY ST,E
6301,6999,WOODMONT AVE,O
15001,15199,CHARLEVOIX ST,O
18495,18495,ALBION ST,O
8063,8063,BLISS ST,O
19100,19798,CHAREST ST,E
11346,11346,GREINER ST,E
19300,19699,KEYSTONE ST,B
5021,5021,E OUTER DR,O
19101,19599,SAINT AUBIN ST,O
18624,18624,TEPPERT ST,E
19971,19971,ASBURY PARK,O
19100,19398,JAMES COUZENS FWY,E
16100,16698,OAKFIELD ST,E
19100,19898,SCHAEFER HWY,E
2009,2009,BEAUFAIT DR,O
50,50,CRESTWOOD DR,E
1370,1370,HAMPTON RD,E
2198,2198,HAWTHORNE RD,E
1998,1998,HUNTINGTON BLVD,E
2134,2134,LANCASTER ST,E
1,49,MCKINLEY PL,B
2051,2051,OXFORD RD,O
843,843,S ROSEDALE CT,O
2197,2197,ROSLYN RD,O
10101,10361,AUSTRIAN WAY,B
25600,26199,MARLOWE PL,B
6301,8941,W BUENA VISTA ST,O
3900,6298,FENKELL ST,E
14500,14798,GRIGGS ST,E
13703,13703,LA SALLE BLVD,O
15099,15099,PARKSIDE ST,O
15029,15029,QUINCY ST,O
15061,15061,WILDEMERE ST,O
11681,11681,BEAVERLAND,O
9902,9902,HAZELTON,E
13984,13984,W OUTER DR,E
19101,19955,DELAWARE AVE,O
100,599,S CRANBROOK CROSS RD,B
4000,4099,PARKWOOD CT,B
1600,1699,BRACKEN RD,B
1215,1227,HIDDEN LAKE DR,O
4701,4783,OVERTON CV,O
5100,5499,WAYFIND LN,B
478,488,DUNSTON CT,E
200,499,LONE PINE CT,B
1101,1171,TIMBERVIEW TRL,O
1605,1999,BUELL CT,B
110,2300,E GUNN RD,E
4161,4250,OAK ARBOR CT,B
1810,1846,SUDBURY CT,E
1200,1399,BEALE CIR,B
100,299,FRASER ST,B
354,398,HUNTINGTON CT,E
1510,1588,MILLECOQUINS CT,E
200,899,SHORTRIDGE AVE,B
3525,3525,S ADAMS RD,O
3527,3688,CEDAR SHAKE DR,B
3301,3475,INNSBROOK DR,O
3849,3907,NELDA HILL LN,O
3250,3250,SAINT CLAIR DR,E
2836,2836,YORK RD,E
4576,4576,15 MILE RD,E
2909,2909,CHARITY DR,O
3088,3088,ELMCREST RD,E
3074,3074,FOX HILL DR,E
3596,3596,GRIGG DR,E
3215,3215,METROPOLITAN PKWY,O
34200,34299,SURF DR,B
8891,12099,E 14 MILE RD,O
8200,8499,BRISBANE DR,B
36460,36460,CLIFFORD DR,E
38325,38397,GLADSTONE DR,B
37733,37733,LONGACRE DR,O
34822,34822,MORAVIAN DR,E
12277,12277,PLUMBROOK RD,O
14222,14222,VALUSEK DR,E
12800,12999,COBBLESTONE DR,B
8600,8600,INDEPENDENCE DR,E
43700,44100,RUSHCLIFFE DR,B
2647,2647,BALSAM WAY DR,O
2392,2599,HORNBEAM DR,B
43700,43799,SAINT JULIAN CT,B
14700,14735,BRISTOL CT,B
14700,14799,HOLLY CT,B
49800,49899,OXFORD CT,B
46498,46622,VILLAGGIO CT,E
56452,56452,ASHBROOKE DR W,E
56550,56619,HARTLEY DR W,B
11082,11299,MINNFRANK,B
54667,54667,SHELBY RD,O
6900,7999,21 MILE RD,B
49500,49899,DECKER DR,B
5400,5999,PATRICIA AVE,B
1535,2501,CASS LAKE RD,O
6512,7092,BEVERLY CREST DR,E
7029,7089,CLEMENTS,O
5825,5847,FINEWAY CT,O
5359,5371,KINGSFIELD DR,O
6888,6962,NASHWAY DR W,E
3174,3198,RUTLEDGE PARK CT,E
7200,7498,VERONA DR,E
4200,4200,CALUMET ST,E
6570,6570,HERON PT,E
4126,4454,MIDDLEDALE AVE,E
4783,4855,ROLLING RDG,O
6271,6271,WALNUT LAKE RD,O
7840,7840,BARNSBURY DR,E
6680,6690,EDWOOD AVE,E
2104,2104,HILLER RD,E
2165,2165,LOCKLIN LN,O
5446,5460,POSSUM LN,E
3119,3295,WELLINGTON CT,O
800,998,CHASE WAY BLVD,B
850,850,LAKE ANGELUS SHRS,E
3485,3485,N SQUIRREL RD,O
4769,5441,CASS ELIZABETH RD,O
6001,6701,HACKETT,O
502,502,S PINEGROVE AVE,E
1215,1427,S CASS LAKE RD,O
3000,3599,LEXINGTON DR,B
1000,1699,WOODLOW ST,B
6470,6724,HATCHERY RD,E
3500,4299,SAGINAW TRL,B
